,Selling Price,MRP,Discount,Rating,Discount_Amount,Discount_Computed_%,Gender,Color,Fit,Product_Type,Print_Type,Category
84,849,2499.0,66.0,4.6,1650.0,66.0,Men,Black,Oversized,Sweatshirt,Graphic,Outerwear
85,1049,2899.0,63.0,4.6,1850.0,63.8,Men,Black,Unknown,Sweatshirt,Graphic,Outerwear
86,969,2999.0,67.0,4.6,2030.0,67.7,Men,Beige,Oversized,Sweatshirt,Graphic,Outerwear
87,1189,3999.0,70.0,4.6,2810.0,70.3,Men,Red,Oversized,Sweatshirt,Graphic,Outerwear
88,1119,3899.0,71.0,4.6,2780.0,71.3,Men,Grey,Oversized,Sweatshirt,Solid,Outerwear
89,799,2299.0,65.0,4.6,1500.0,65.2,Men,Blue,Oversized,Sweatshirt,Solid,Outerwear
90,1109,2899.0,61.0,4.6,1790.0,61.7,Men,Black,Unknown,Sweatshirt,Graphic,Outerwear
91,1089,3099.0,64.0,4.6,2010.0,64.9,Men,Black,Unknown,Sweatshirt,Graphic,Outerwear
92,889,2099.0,57.0,4.6,1210.0,57.6,Men,Beige,Oversized,Sweatshirt,Solid,Outerwear
93,979,2799.0,65.0,4.6,1820.0,65.0,Men,Brown,Oversized,Sweatshirt,Graphic,Outerwear
94,1419,3899.0,63.0,4.6,2480.0,63.6,Men,Red,Oversized,Sweatshirt,Graphic,Outerwear
95,869,1799.0,51.0,4.6,930.0,51.7,Men,Black,Unknown,Sweatshirt,Solid,Outerwear
96,749,2099.0,64.0,4.6,1350.0,64.3,Men,Black,Unknown,Sweatshirt,Graphic,Outerwear
97,899,2899.0,68.0,4.6,2000.0,69.0,Men,Black,Unknown,Sweatshirt,Graphic,Outerwear
98,1249,4799.0,73.0,4.6,3550.0,74.0,Men,Green,Oversized,Sweatshirt,Solid,Outerwear
99,769,2899.0,73.0,4.6,2130.0,73.5,Men,Black,Unknown,Sweatshirt,Graphic,Outerwear
100,2299,5399.0,57.0,4.5,3100.0,57.4,Men,Green,Unknown,Jacket,Solid,Outerwear
101,1729,2499.0,30.0,4.5,770.0,30.8,Men,Black,Oversized,Jacket,Typography,Outerwear
102,2499,5399.0,53.0,4.5,2900.0,53.7,Men,Brown,Unknown,Jacket,Solid,Outerwear
103,1049,3749.0,72.0,4.5,2700.0,72.0,Men,Black,Oversized,Jacket,Graphic,Outerwear
104,1729,5699.0,69.0,4.5,3970.0,69.7,Men,White,Oversized,Jacket,Typography,Outerwear
105,2299,5399.0,57.0,4.5,3100.0,57.4,Men,Green,Unknown,Jacket,Solid,Outerwear
106,839,3199.0,73.0,4.5,2360.0,73.8,Men,Black,Unknown,Jacket,Solid,Outerwear
107,2389,5699.0,58.0,4.5,3310.0,58.1,Men,Beige,Oversized,Jacket,Graphic,Outerwear
108,1369,4099.0,66.0,4.5,2730.0,66.6,Men,Black,Oversized,Jacket,Graphic,Outerwear
109,1319,4999.0,73.0,4.5,3680.0,73.6,Men,Beige,Oversized,Jacket,Solid,Outerwear
110,1139,5799.0,80.0,4.5,4660.0,80.4,Men,Black,Oversized,Jacket,Graphic,Outerwear
111,1039,3699.0,71.0,4.5,2660.0,71.9,Men,Black,Oversized,Jacket,Typography,Outerwear
112,1139,2499.0,54.0,4.5,1360.0,54.4,Men,Grey,Super Loose,Jacket,Typography,Outerwear
113,1139,2899.0,60.0,4.5,1760.0,60.7,Men,Grey,Oversized,Jacket,Solid,Outerwear
114,1019,3299.0,69.0,4.5,2280.0,69.1,Men,Green,Oversized,Jacket,Solid,Outerwear
115,899,3299.0,72.0,4.5,2400.0,72.7,Men,Red,Oversized,Jacket,Solid,Outerwear
116,1709,4399.0,61.0,4.5,2690.0,61.2,Men,Black,Oversized,Jacket,Solid,Outerwear
117,1849,6299.0,70.0,4.5,4450.0,70.6,Men,Blue,Oversized,Jacket,Solid,Outerwear
118,1199,4499.0,73.0,4.5,3300.0,73.3,Men,Black,Oversized,Jacket,Printed,Outerwear
119,999,2999.0,66.0,4.5,2000.0,66.7,Men,White,Unknown,Jacket,Solid,Outerwear
120,789,2499.0,68.0,4.4,1710.0,68.4,Men,Black,Oversized,Sweater,Typography,Outerwear
121,1429,4899.0,70.0,4.4,3470.0,70.8,Men,Black,Oversized,Sweater,Solid,Outerwear
122,969,2999.0,67.0,4.4,2030.0,67.7,Men,White,Oversized,Sweater,Solid,Outerwear
123,899,2399.0,62.0,4.4,1500.0,62.5,Men,Olive,Unknown,Sweater,Solid,Outerwear
124,1249,4099.0,69.0,4.4,2850.0,69.5,Men,Black,Oversized,Sweater,Typography,Outerwear
125,749,2399.0,68.0,4.4,1650.0,68.8,Men,Blue,Oversized,Sweater,Solid,Outerwear
126,819,2899.0,71.0,4.4,2080.0,71.7,Men,Black,Super Loose,Sweater,Typography,Outerwear
127,669,2399.0,72.0,4.4,1730.0,72.1,Men,Green,Oversized,Sweater,Solid,Outerwear
128,1129,4199.0,73.0,4.4,3070.0,73.1,Men,White,Oversized,Sweater,Solid,Outerwear
129,799,3099.0,74.0,4.4,2300.0,74.2,Men,Black,Oversized,Sweater,Solid,Outerwear
130,639,2199.0,70.0,4.4,1560.0,70.9,Men,Black,Oversized,Sweater,Solid,Outerwear
131,729,2399.0,69.0,4.4,1670.0,69.6,Men,Pink,Unknown,Sweater,Solid,Outerwear
132,779,2199.0,64.0,4.4,1420.0,64.6,Men,Green,Oversized,Sweater,Solid,Outerwear
133,789,2499.0,68.0,4.4,1710.0,68.4,Men,Unknown,Oversized,Sweater,Typography,Outerwear
134,699,1999.0,65.0,4.4,1300.0,65.0,Men,Grey,Unknown,Sweater,Solid,Outerwear
135,799,2499.0,68.0,4.4,1700.0,68.0,Men,Unknown,Unknown,Sweater,Solid,Outerwear
136,939,2099.0,55.0,4.4,1160.0,55.3,Men,Unknown,Oversized,Sweater,Typography,Outerwear
137,739,2399.0,69.0,4.4,1660.0,69.2,Men,Black,Unknown,Sweater,Graphic,Outerwear
